policy,metric,value,random_value,delta_vs_random,percent_vs_random
random,aggregate_ipc,2.04193488048372,2.04193488048372,0.0,0.0
random,sum_core_ipc,2.04193488048372,2.04193488048372,0.0,0.0
random,cpu0_l1_demand_mpki,10.432516212316246,10.432516212316246,0.0,0.0
random,cpu1_l1_demand_mpki,36.57649029240676,36.57649029240676,0.0,0.0
random,cpu0_l2_demand_mpki,10.41901248467361,10.41901248467361,0.0,0.0
random,cpu1_l2_demand_mpki,6.253600694250315,6.253600694250315,0.0,0.0
random,aggregate_l1_demand_misses,151718,151718,0,0.0
random,aggregate_l2_demand_misses,89248,89248,0,0.0
random,aggregate_iew_stall_events,440786,440786,0,0.0
random,slc_hit_rate,0.025659293684372055,0.025659293684372055,0.0,0.0
random,sf_hit_rate,0.013240677817480326,0.013240677817480326,0.0,0.0
random,slc_hits,2341.0,2341.0,0.0,0.0
random,slc_misses,88893.0,88893.0,0.0,0.0
random,sf_hits,1208.0,1208.0,0.0,0.0
random,sf_misses,90026.0,90026.0,0.0,0.0
random,replacement_attempts,73041.0,73041.0,0.0,0.0
random,total_slc_victims,73041.0,73041.0,0.0,0.0
random,clean_slc_victims,8368.0,8368.0,0.0,0.0
random,dirty_slc_victims,64673.0,64673.0,0.0,0.0
random,sf_victims,88084.0,88084.0,0.0,0.0
random,directed_snoops,0.0,0.0,0.0,0.0
random,broadcast_snoops,0.0,0.0,0.0,0.0
random,victim_rate_per_completed_lookup,0.8005896924392222,0.8005896924392222,0.0,0.0
random,victims_per_ki,7.780082324585193,7.780082324585193,0.0,0.0
random,hnf_service_stalls,247732.0,247732.0,0.0,0.0
random,hnf_stale_token_replays,101.0,101.0,0.0,0.0
random,hnf_resource_conflict_replays,0.0,0.0,0.0,0.0
random,hnf_seq_conflict_replays,19545.0,19545.0,0.0,0.0
random,hnf_victim_buffer_full_replays,0.0,0.0,0.0,0.0
random,hnf_cancelled_replays,0.0,0.0,0.0,0.0
random,hnf_total_replay_responses,19646.0,19646.0,0.0,0.0
random,hnf_replays_per_ki,2.0926260230391245,2.0926260230391245,0.0,0.0
