pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
dbe58,0,0,4,0,0,0,0
f42e6,4,0,20,0,0,0,0
f5458,0,0,1,0,0,0,0
dbe5e,0,0,4,0,0,0,0
dbe62,0,0,4,0,0,0,0
dcb62,0,0,4,0,0,0,0
dcb6a,0,0,4,0,0,0,0
dc2ba,0,0,28,0,0,0,0
f416c,0,0,20,0,0,0,0
dcbac,2,0,4,0,0,0,0
f4cec,1,0,2,0,0,0,0
f544e,0,0,1,0,0,0,0
dbdce,4,0,8,0,0,0,0
dca5a,2,0,4,0,0,0,0
dca44,0,0,4,0,0,0,0
dbe02,0,0,8,0,0,0,0
f4178,2,0,20,0,0,0,0
dbe06,0,0,8,0,0,0,0
dbe0a,0,0,8,0,0,0,0
dbe16,0,0,8,0,0,0,0
dc584,1,0,4,0,0,0,0
dbe1e,1,0,8,0,0,0,0
dc7a2,1,0,4,0,0,0,0
dc798,0,0,4,0,0,0,0
dc5a4,1,0,4,0,0,0,0
dc59e,0,0,4,0,0,0,0
dbde8,0,0,4,0,0,0,0
f42c8,0,0,20,0,0,0,0
f53f4,4,0,3,0,0,0,0
f4b36,1,0,4,0,0,0,0
dbfda,0,0,4,0,0,0,0
f4af4,2,0,90,0,0,0,0
f4c44,0,0,3,0,0,0,0
dbfea,1,0,2,0,0,0,0
dc002,0,0,2,0,0,0,0
f4b30,4,0,218,0,0,0,0
f4c20,1,0,1,0,0,0,0
106282,0,0,2,0,0,0,0
f4c14,0,0,1,0,0,0,0
f4b32,2,0,4,0,0,0,0
dc016,0,0,2,0,0,0,0
dbf84,1,0,4,0,0,0,0
dc01c,1,0,4,0,0,0,0
dc122,0,0,8,0,0,0,0
f4c12,1,0,11,0,0,0,0
f4bf6,1,0,15,0,0,0,0
dc128,0,0,8,0,0,0,0
f4b3a,1,0,90,0,0,0,0
f4be6,1,0,6,0,0,0,0
f4bd8,1,0,57,0,0,0,0
dc144,0,0,8,0,0,0,0
f4bba,4,0,90,0,0,0,0
f4bb6,1,0,1,0,0,0,0
dbf68,0,0,4,0,0,0,0
dbe66,0,0,8,0,0,0,0
dbed8,1,0,10,0,0,0,0
f53ce,4,0,15,0,0,0,0
f53c2,2,0,15,0,0,0,0
f53b8,0,0,15,0,0,0,0
dbf2e,0,0,4,0,0,0,0
f4d1a,1,0,1,0,0,0,0
f4d00,1,0,1,0,0,0,0
dbf50,1,0,4,0,0,0,0
f4cde,0,0,2,0,0,0,0
dc272,0,0,4,0,0,0,0
dc292,2,0,4,0,0,0,0
dbf6e,0,0,4,0,0,0,0
