policy,set,victims
random,153,59
random,154,60
random,155,59
random,156,60
random,157,59
random,158,61
random,159,57
random,160,56
random,161,59
random,162,60
random,163,60
random,164,59
random,165,58
random,166,59
random,167,59
random,168,60
random,169,58
random,170,59
random,171,59
random,172,59
random,173,59
random,174,58
random,175,58
random,176,56
random,177,58
random,178,59
random,179,57
random,180,58
random,181,57
random,182,57
random,183,58
random,184,58
random,185,58
random,186,58
random,187,58
random,188,59
random,189,58
random,190,59
random,191,58
random,192,57
random,193,58
random,194,58
random,195,58
random,196,59
random,197,58
random,198,59
random,199,59
random,200,58
random,201,57
random,202,58
random,203,56
random,204,59
random,205,57
random,206,59
random,207,59
random,208,58
random,209,56
random,210,57
random,211,58
random,212,58
random,213,57
random,214,57
random,215,58
random,216,58
random,217,58
random,218,59
random,219,58
random,220,59
random,221,58
random,222,57
random,223,58
random,224,57
random,225,58
random,226,58
random,227,58
random,228,57
random,229,55
random,230,58
random,231,56
random,232,58
random,233,58
random,234,58
random,235,58
random,236,57
random,237,58
random,238,57
random,239,57
random,240,57
random,241,57
random,242,57
random,243,59
random,244,59
random,245,56
random,246,58
random,247,58
random,248,60
random,249,59
random,250,59
random,251,59
random,252,60
random,253,57
random,254,59
random,255,58
random,256,59
random,257,58
random,258,58
random,259,52
random,260,59
random,261,59
random,262,59
random,263,58
random,264,57
random,265,59
random,266,57
random,267,59
random,268,58
random,269,59
random,270,57
random,271,55
random,272,57
random,273,58
random,274,57
random,275,58
random,276,58
random,277,58
random,278,56
random,279,59
random,280,57
random,281,56
random,282,59
random,283,58
random,284,58
random,285,60
random,286,60
random,287,59
random,288,58
random,289,58
random,290,58
random,291,58
random,292,58
random,293,56
random,294,57
random,295,56
random,296,59
random,297,58
random,298,57
random,299,58
random,300,58
random,301,56
random,302,58
random,303,58
random,304,58
random,305,57
random,306,58
random,307,56
random,308,56
random,309,55
random,310,57
random,311,59
random,312,56
random,313,59
random,314,60
random,315,60
random,316,58
random,317,57
random,318,58
random,319,59
random,320,60
random,321,61
random,322,61
random,323,58
random,324,61
random,325,60
random,326,57
random,327,60
random,328,58
random,329,60
random,330,60
random,331,60
random,332,61
random,333,59
random,334,59
random,335,59
random,336,59
random,337,58
random,338,59
random,339,58
random,340,59
random,341,59
random,342,59
random,343,59
random,344,58
random,345,59
random,346,59
random,347,59
random,348,59
random,349,59
random,350,58
random,351,57
random,352,57
random,353,59
random,354,59
random,355,59
random,356,59
random,357,58
random,358,58
random,359,58
random,360,57
random,361,58
random,362,59
random,363,58
random,364,58
random,365,58
random,366,59
random,367,59
random,368,59
random,369,59
random,370,59
random,371,58
random,372,58
random,373,57
random,374,59
random,375,58
random,376,58
random,377,58
random,378,59
random,379,59
random,380,58
random,381,59
random,382,59
random,383,59
random,384,58
random,385,58
random,386,57
random,387,59
random,388,57
random,389,57
random,390,58
random,391,58
random,392,58
random,393,58
random,394,59
random,395,59
random,396,58
random,397,58
random,398,58
random,399,56
random,400,58
random,401,57
random,402,58
random,403,58
random,404,57
random,405,58
random,406,58
random,407,58
random,408,58
random,409,58
random,410,57
random,411,58
random,412,58
random,413,57
random,414,58
random,415,58
random,416,58
random,417,58
random,418,58
random,419,59
random,420,59
random,421,59
random,422,57
random,423,57
random,424,58
random,425,58
random,426,57
random,427,56
random,428,57
random,429,57
random,430,55
random,431,58
random,432,58
random,433,58
random,434,57
random,435,57
random,436,55
random,437,58
random,438,57
random,439,59
random,440,58
random,441,58
random,442,57
random,443,57
random,444,57
random,445,58
random,446,59
random,447,58
random,448,59
random,449,57
random,450,58
random,451,59
random,452,60
random,453,59
random,454,59
random,455,59
random,456,58
random,457,59
random,458,58
random,459,54
random,460,58
random,461,59
random,462,58
random,463,57
random,464,58
random,465,58
random,466,58
random,467,58
random,468,59
random,469,58
random,470,57
random,471,59
random,472,59
random,473,60
random,474,60
random,475,60
random,476,60
random,477,58
random,478,60
random,479,58
random,480,59
random,481,58
random,482,59
random,483,58
random,484,58
random,485,57
random,486,58
random,487,58
random,488,58
random,489,58
random,490,57
random,491,58
random,492,58
random,493,58
random,494,58
random,495,58
random,496,58
random,497,58
random,498,58
random,499,60
random,500,58
random,501,57
random,502,58
random,503,58
random,504,58
random,505,58
random,506,58
random,507,59
random,508,59
random,509,58
random,510,58
random,511,58
random,512,58
random,513,58
random,514,59
random,515,58
random,516,58
random,517,57
random,518,58
random,519,56
random,520,58
random,521,59
random,522,56
random,523,59
random,524,58
random,525,59
random,526,59
random,527,59
random,528,56
random,529,57
random,530,59
random,531,57
random,532,57
random,533,59
random,534,59
random,535,61
random,536,61
random,537,59
random,538,59
random,539,59
random,540,59
random,541,58
random,542,58
random,543,58
random,544,58
random,545,57
random,546,58
random,547,58
random,548,58
random,549,57
random,550,58
random,551,57
random,552,58
random,553,58
random,554,60
random,555,60
random,556,59
random,557,59
random,558,56
random,559,59
random,560,59
random,561,60
random,562,59
random,563,60
random,564,59
random,565,58
random,566,58
random,567,58
random,568,58
random,569,60
random,570,58
random,571,58
random,572,58
random,573,59
random,574,57
random,575,56
random,576,57
random,577,58
random,578,59
random,579,60
random,580,60
random,581,58
random,582,59
random,583,59
random,584,58
random,585,58
random,586,58
random,587,58
random,588,58
random,589,58
random,590,57
random,591,59
random,592,59
random,593,58
random,594,58
random,595,57
random,596,57
random,597,58
random,598,58
random,599,58
random,600,59
random,601,58
random,602,58
random,603,60
random,604,58
random,605,59
random,606,55
random,607,59
random,608,59
random,609,58
random,610,59
random,611,59
random,612,58
random,613,58
random,614,59
random,615,55
random,616,58
random,617,59
random,618,59
random,619,61
random,620,61
random,621,61
random,622,59
random,623,57
random,624,59
random,625,56
random,626,58
random,627,59
random,628,58
random,629,57
random,630,60
random,631,60
random,632,60
random,633,60
random,634,60
random,635,60
random,636,61
random,637,64
random,638,61
random,639,60
random,640,58
random,641,59
random,642,59
random,643,58
random,644,58
random,645,59
random,646,60
random,647,59
random,648,59
random,649,60
random,650,60
random,651,59
random,652,59
random,653,58
random,654,59
random,655,59
random,656,57
random,657,59
random,658,58
random,659,56
random,660,58
random,661,59
random,662,59
random,663,60
random,664,61
random,665,60
random,666,60
random,667,60
random,668,61
random,669,59
random,670,59
random,671,60
random,672,60
random,673,61
random,674,60
random,675,60
random,676,60
random,677,60
random,678,60
random,679,61
random,680,59
random,681,59
random,682,56
random,683,59
random,684,58
random,685,59
random,686,57
random,687,58
random,688,58
random,689,56
random,690,58
random,691,58
random,692,57
random,693,61
random,694,59
random,695,59
random,696,58
random,697,61
random,698,59
random,699,59
random,700,59
random,701,59
random,702,58
random,703,58
random,704,60
random,705,61
random,706,61
random,707,61
random,708,60
random,709,60
random,710,61
random,711,61
random,712,59
random,713,59
random,714,59
random,715,60
random,716,58
random,717,58
random,718,56
random,719,59
random,720,59
random,721,59
random,722,59
random,723,59
random,724,59
random,725,59
random,726,59
random,727,60
random,728,59
random,729,56
random,730,59
random,731,59
random,732,59
random,733,57
random,734,58
random,735,58
random,736,58
random,737,58
random,738,59
random,739,60
random,740,60
random,741,58
random,742,56
random,743,57
random,744,59
random,745,58
random,746,58
random,747,56
random,748,59
random,749,58
random,750,58
random,751,56
random,752,57
random,753,56
random,754,57
random,755,57
random,756,57
random,757,58
random,758,59
random,759,55
random,760,55
random,761,57
random,762,58
random,763,57
random,764,56
random,765,57
random,766,56
random,767,56
random,768,57
random,769,55
random,770,55
random,771,59
random,772,56
random,773,57
random,774,58
random,775,56
random,776,57
random,777,56
random,778,57
random,779,56
random,780,55
random,781,55
random,782,56
random,783,56
random,784,55
random,785,57
random,786,55
random,787,55
random,788,56
random,789,55
random,790,56
random,791,55
random,792,55
random,793,54
random,794,55
random,795,55
random,796,56
random,797,56
random,798,57
random,799,54
random,800,55
random,801,54
random,802,54
random,803,54
random,804,55
random,805,55
random,806,55
random,807,56
random,808,56
random,809,54
random,810,55
random,811,54
random,812,52
random,813,53
random,814,54
random,815,52
random,816,53
random,817,53
random,818,56
random,819,54
random,820,54
random,821,54
random,822,54
random,823,55
random,824,54
random,825,54
random,826,51
random,827,54
random,828,54
random,829,54
random,830,54
random,831,53
random,832,56
random,833,55
random,834,56
random,835,55
random,836,55
random,837,55
random,838,54
random,839,55
random,840,55
random,841,55
random,842,54
random,843,55
random,844,55
random,845,54
random,846,55
random,847,55
random,848,56
random,849,57
random,850,57
random,851,57
random,852,57
random,853,55
random,854,53
random,855,55
random,856,55
random,857,56
random,858,55
random,859,56
random,860,56
random,861,56
random,862,56
random,863,54
random,864,55
random,865,56
random,866,55
random,867,55
random,868,55
random,869,53
random,870,56
random,871,55
random,872,55
random,873,55
random,874,55
random,875,55
random,876,55
random,877,55
random,878,55
random,879,55
random,880,55
random,881,55
random,882,55
random,883,55
random,884,55
random,885,55
random,886,55
random,887,54
random,888,55
random,889,55
random,890,55
random,891,55
random,892,55
random,893,55
random,894,55
random,895,55
random,896,53
random,897,53
random,898,54
random,899,54
random,900,54
random,901,55
random,902,55
random,903,55
random,904,52
random,905,54
random,906,54
random,907,54
random,908,54
random,909,55
random,910,55
random,911,54
random,912,55
random,913,53
random,914,55
random,915,54
random,916,55
random,917,56
random,918,56
random,919,55
random,920,54
random,921,55
random,922,54
random,923,54
random,924,55
random,925,55
random,926,56
random,927,56
random,928,55
random,929,55
random,930,54
random,931,56
random,932,54
random,933,56
random,934,54
random,935,55
random,936,56
random,937,54
random,938,55
random,939,55
random,940,55
random,941,55
random,942,53
random,943,56
random,944,57
random,945,60
random,946,57
random,947,58
random,948,57
random,949,58
random,950,57
random,951,57
random,952,57
random,953,57
random,954,56
random,955,57
random,956,57
random,957,57
random,958,57
random,959,58
random,960,59
random,961,58
random,962,56
random,963,57
random,964,57
random,965,57
random,966,57
random,967,57
random,968,57
random,969,56
random,970,56
random,971,57
random,972,57
random,973,57
random,974,59
random,975,57
random,976,57
random,977,57
random,978,57
random,979,57
random,980,56
random,981,59
random,982,59
random,983,57
random,984,58
random,985,57
random,986,56
random,987,57
random,988,57
random,989,57
random,990,55
random,991,57
random,992,57
random,993,57
random,994,57
random,995,58
random,996,60
random,997,59
random,998,55
random,999,59
random,1000,59
random,1001,60
random,1002,58
random,1003,58
random,1004,59
random,1005,59
random,1006,57
random,1007,57
random,1008,58
random,1009,58
random,1010,56
random,1011,56
random,1012,58
random,1013,57
random,1014,58
random,1015,58
random,1016,59
random,1017,59
random,1018,59
random,1019,58
random,1020,57
random,1021,60
random,1022,58
random,1023,60
srrip,0,61
srrip,1,60
srrip,2,59
srrip,3,59
srrip,4,59
srrip,5,59
srrip,6,60
srrip,7,60
srrip,8,60
srrip,9,60
srrip,10,59
srrip,11,58
srrip,12,57
srrip,13,59
srrip,14,60
srrip,15,59
srrip,16,60
srrip,17,60
srrip,18,60
srrip,19,59
srrip,20,59
srrip,21,59
srrip,22,60
srrip,23,60
srrip,24,60
srrip,25,60
srrip,26,59
srrip,27,59
srrip,28,60
srrip,29,60
srrip,30,63
srrip,31,61
srrip,32,60
srrip,33,60
srrip,34,59
srrip,35,61
srrip,36,60
srrip,37,60
srrip,38,59
srrip,39,60
srrip,40,62
srrip,41,62
srrip,42,62
srrip,43,64
srrip,44,62
srrip,45,62
srrip,46,61
srrip,47,60
srrip,48,61
srrip,49,62
srrip,50,61
srrip,51,62
srrip,52,61
srrip,53,61
srrip,54,61
srrip,55,61
srrip,56,60
srrip,57,60
srrip,58,59
srrip,59,56
srrip,60,58
srrip,61,57
srrip,62,57
srrip,63,56
srrip,64,57
srrip,65,56
srrip,66,60
srrip,67,59
srrip,68,58
srrip,69,60
srrip,70,60
srrip,71,57
srrip,72,59
srrip,73,61
