schema_version,profiler_name,sample_index,tick,retired_macro_insts,pc,stack_depth,stack_addresses
1,system.guest_stack_profilers1,1066,2892255405,1066000,0xc9150,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc9150
1,system.guest_stack_profilers1,1067,2893770510,1067000,0xc8b2a,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8b2a
1,system.guest_stack_profilers1,1068,2895430905,1068000,0xc9194,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc9194
1,system.guest_stack_profilers1,1069,2897386665,1069000,0xc91b6,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc91b6
1,system.guest_stack_profilers1,1070,2899162770,1070000,0xc8b1a,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc8a2c;0xc8b1a
1,system.guest_stack_profilers1,1071,2901113745,1071000,0xc90b6,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc904c;0xc90b6
1,system.guest_stack_profilers1,1072,2904103065,1072000,0xc8b0e,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b0e
1,system.guest_stack_profilers1,1073,2905200570,1073000,0xc8ee0,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8ee0
1,system.guest_stack_profilers1,1074,2905924845,1074000,0xc8f44,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f44
1,system.guest_stack_profilers1,1075,2907011475,1075000,0xc8b26,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b26
1,system.guest_stack_profilers1,1076,2907649620,1076000,0xc8f1e,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f1e
1,system.guest_stack_profilers1,1077,2908420440,1077000,0xc8b20,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b20
1,system.guest_stack_profilers1,1078,2909299140,1078000,0xc8f5e,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f5e
1,system.guest_stack_profilers1,1079,2910232650,1079000,0xc9c10,11,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc9c10
1,system.guest_stack_profilers1,1080,2910946485,1080000,0xc8f30,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f30
1,system.guest_stack_profilers1,1081,2912036595,1081000,0xc8a50,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a50
